,type,y,x,t,size
206,car1,38.1461,30.9715,85,1
207,car1,38.1461,30.9715,86,1
208,car1,38.1461,30.9715,87,1
209,car1,38.1461,30.9715,88,1
210,car1,38.1461,30.9715,89,1
211,car1,38.1461,30.9715,90,1
212,car1,38.1461,30.9715,91,1
213,car1,38.1461,30.9715,92,1
214,car1,38.1461,30.9715,93,1
215,car1,38.1461,30.9715,94,1
216,car1,38.1461,30.9715,95,1
217,car1,38.1461,30.9715,96,1
218,car1,38.1461,30.9715,97,1
219,car1,38.1461,30.9715,98,1
220,car1,38.1461,30.9715,99,1
221,car1,38.1461,30.9715,100,1
222,car1,38.1461,30.9715,101,1
223,car1,38.1461,30.9715,102,1
224,car1,38.1461,30.9715,103,1
225,car1,38.1461,30.9715,104,1
226,car1,38.1461,30.9715,105,1
227,car1,38.1461,30.9715,106,1
228,car1,38.1461,30.9715,107,1
229,car1,38.1461,30.9715,108,1
230,car1,38.1461,30.9715,109,1
231,car1,38.1461,30.9715,110,1
232,car1,38.1461,30.9715,111,1
233,car1,38.1461,30.9715,112,1
234,car1,38.1461,30.9715,113,1
235,car1,38.1461,30.9715,114,1
236,car1,38.1461,30.9715,115,1
237,car1,38.1461,30.9715,116,1
238,car1,38.1461,30.9715,117,1
239,car1,38.1461,30.9715,118,1
240,car1,38.1461,30.9715,119,1
241,car1,38.1461,30.9715,120,1
242,car2,51.0662,30.6509,0,1
243,car2,51.0662,30.6509,1,1
244,car2,51.0662,30.6509,2,1
245,car2,51.0662,30.6509,3,1
246,car2,51.0662,30.6509,4,1
247,car2,51.0662,30.6509,5,1
248,car2,51.0662,30.6509,6,1
249,car2,51.0662,30.6509,7,1
250,car2,51.0662,30.6509,8,1
251,car2,51.0662,30.6509,9,1
252,car2,51.0662,30.6509,10,1
253,car2,51.0662,30.6509,11,1
254,car2,51.0662,30.6509,12,1
255,car2,51.0662,30.6509,13,1
256,car2,51.0662,30.6509,14,1
257,car2,51.0662,30.6509,15,1
258,car2,51.0662,30.6509,16,1
259,car2,51.0662,30.6509,17,1
260,car2,51.0662,30.6509,18,1
261,car2,51.0662,30.6509,19,1
262,car2,51.0662,30.6509,20,1
263,car2,51.0662,30.6509,21,1
264,car2,51.0662,30.6509,22,1
265,car2,51.0662,30.6509,23,1
266,car2,51.0662,30.6509,24,1
267,car2,51.0662,30.6509,25,1
268,car2,51.0662,30.6509,26,1
269,car2,51.0662,30.6509,27,1
270,car2,51.0662,30.6509,28,1
271,car2,51.0662,30.6509,29,1
272,car2,51.0662,30.6509,30,1
273,car2,51.0662,30.6509,31,1
274,car2,51.0662,30.6509,32,1
275,car2,51.0662,30.6509,33,1
276,car2,51.0662,30.6509,34,1
277,car2,51.0662,30.6509,35,1
278,car2,51.0662,30.6509,36,1
279,car2,51.0662,30.6509,37,1
280,car2,51.0662,30.6509,38,1
281,car2,51.0662,30.6509,39,1
282,car2,51.0662,30.6509,40,1
283,car2,51.0662,30.6509,41,1
284,car2,51.0662,30.6509,42,1
285,car2,51.0662,30.6509,43,1
286,car2,51.0662,30.6509,44,1
287,car2,51.0662,30.6509,45,1
288,car2,51.0662,30.6509,46,1
289,car2,51.0662,30.6509,47,1
290,car2,51.0662,30.6509,48,1
291,car2,51.0662,30.6509,49,1
292,car2,51.0662,30.6509,50,1
293,car2,51.0662,30.6509,51,1
294,car2,51.0662,30.6509,52,1
295,car2,51.0662,30.6509,53,1
296,car2,51.0662,30.6509,54,1
297,car2,51.0662,30.6509,55,1
298,car2,51.0662,30.6509,56,1
299,car2,51.0662,30.6509,57,1
300,car2,51.0662,30.6509,58,1
301,car2,51.0662,30.6509,59,1
302,car2,51.0662,30.6509,60,1
303,car2,51.0662,30.6509,61,1
304,car2,51.0662,30.6509,62,1
305,car2,51.0662,30.6509,63,1
306,car2,51.0662,30.6509,64,1
307,car2,51.0662,30.6509,65,1
308,car2,51.0662,30.6509,66,1
309,car2,51.0662,30.6509,67,1
310,car2,51.0662,30.6509,68,1
311,car2,51.0663,30.6509,69,1
312,car2,52.3732,29.6908,70,1
313,car2,53.6801,28.7307,71,1
314,car2,54.987,27.7706,72,1
315,car2,56.2939,26.8105,73,1
316,car2,57.6006,25.8505,74,1
317,car2,57.6006,25.8505,75,1
318,car2,57.6007,25.8505,76,1
319,car2,58.2083,29.1944,77,1
320,car2,58.8159,32.5383,78,1
321,car2,59.4235,35.8822,79,1
322,car2,60.0311,39.2261,80,1
323,car2,60.6387,42.57,81,1
324,car2,61.2463,45.9139,82,1
325,car2,61.854,49.2581,83,1
326,car2,60.0303,47.8514,84,1
327,car2,58.2066,46.4447,85,1
328,car2,56.3829,45.038,86,1
329,car2,54.5592,43.6313,87,1
330,car2,52.7355,42.2246,88,1
331,car2,50.9118,40.8179,89,1
332,car2,49.0881,39.4112,90,1
333,car2,47.2644,38.0045,91,1
334,car2,45.4407,36.5978,92,1
335,car2,43.617,35.1911,93,1
336,car2,41.7933,33.7844,94,1
337,car2,39.9696,32.3777,95,1
338,car2,38.1461,30.9715,96,1
339,car2,38.1461,30.9715,97,1
340,car2,38.1461,30.9715,98,1
341,car2,38.1461,30.9715,99,1
342,car2,38.1461,30.9715,100,1
343,car2,38.1461,30.9715,101,1
344,car2,38.1461,30.9715,102,1
345,car2,38.1461,30.9715,103,1
346,car2,38.1461,30.9715,104,1
347,car2,38.1461,30.9715,105,1
348,car2,38.1461,30.9715,106,1
349,car2,38.1461,30.9715,107,1
350,car2,38.1461,30.9715,108,1
351,car2,38.1461,30.9715,109,1
352,car2,38.1461,30.9715,110,1
353,car2,38.1461,30.9715,111,1
354,car2,38.1461,30.9715,112,1
355,car2,38.1461,30.9715,113,1
356,car2,38.1461,30.9715,114,1
357,car2,38.1461,30.9715,115,1
358,car2,38.1461,30.9715,116,1
359,car2,38.1461,30.9715,117,1
360,car2,38.1461,30.9715,118,1
361,car2,38.1461,30.9715,119,1
362,car2,38.1461,30.9715,120,1
363,car3,51.0662,30.6509,0,1
364,car3,51.0662,30.6509,1,1
365,car3,51.0662,30.6509,2,1
366,car3,51.0662,30.6509,3,1
367,car3,51.0662,30.6509,4,1
368,car3,51.0662,30.6509,5,1
369,car3,51.0662,30.6509,6,1
370,car3,51.0662,30.6509,7,1
371,car3,51.0662,30.6509,8,1
372,car3,51.0662,30.6509,9,1
373,car3,51.0662,30.6509,10,1
374,car3,51.0662,30.6509,11,1
375,car3,51.0662,30.6509,12,1
376,car3,51.0662,30.6509,13,1
377,car3,51.0662,30.6509,14,1
378,car3,51.0662,30.6509,15,1
379,car3,51.0662,30.6509,16,1
380,car3,51.0662,30.6509,17,1
381,car3,51.0662,30.6509,18,1
382,car3,51.0662,30.6509,19,1
383,car3,51.0662,30.6509,20,1
384,car3,51.0662,30.6509,21,1
385,car3,51.0662,30.6509,22,1
386,car3,51.0662,30.6509,23,1
387,car3,51.0662,30.6509,24,1
388,car3,51.0662,30.6509,25,1
389,car3,51.0662,30.6509,26,1
390,car3,51.0662,30.6509,27,1
391,car3,51.0662,30.6509,28,1
392,car3,51.0662,30.6509,29,1
393,car3,51.0662,30.6509,30,1
394,car3,51.0662,30.6509,31,1
395,car3,51.0662,30.6509,32,1
396,car3,51.0662,30.6509,33,1
397,car3,51.0662,30.6509,34,1
398,car3,51.0662,30.6509,35,1
399,car3,51.0662,30.6509,36,1
400,car3,51.0662,30.6509,37,1
401,car3,51.0662,30.6509,38,1
402,car3,51.0662,30.6509,39,1
403,car3,51.0662,30.6509,40,1
404,car3,51.0662,30.6509,41,1
405,car3,51.0662,30.6509,42,1
406,car3,51.0662,30.6509,43,1
407,car3,51.0662,30.6509,44,1
408,car3,51.0662,30.6509,45,1
409,car3,51.0662,30.6509,46,1
410,car3,51.0662,30.6509,47,1
411,car3,51.0662,30.6509,48,1
412,car3,51.0662,30.6509,49,1
413,car3,51.0662,30.6509,50,1
414,car3,51.0662,30.6509,51,1
415,car3,51.0662,30.6509,52,1
416,car3,51.0662,30.6509,53,1
417,car3,51.0662,30.6509,54,1
418,car3,51.0662,30.6509,55,1
419,car3,51.0662,30.6509,56,1
420,car3,51.0662,30.6509,57,1
421,car3,51.0662,30.6509,58,1
422,car3,51.0662,30.6509,59,1
423,car3,51.0662,30.6509,60,1
424,car3,51.0662,30.6509,61,1
425,car3,51.0662,30.6509,62,1
426,car3,51.0662,30.6509,63,1
427,car3,51.0662,30.6509,64,1
428,car3,51.0662,30.6509,65,1
429,car3,51.0662,30.6509,66,1
430,car3,51.0662,30.6509,67,1
431,car3,51.0662,30.6509,68,1
432,car3,51.0662,30.6509,69,1
433,car3,51.0662,30.6509,70,1
434,car3,51.0662,30.6509,71,1
435,car3,51.0662,30.6509,72,1
436,car3,51.0662,30.6509,73,1
437,car3,51.0662,30.6509,74,1
438,car3,51.0662,30.6509,75,1
439,car3,51.0662,30.6509,76,1
440,car3,51.0662,30.6509,77,1
441,car3,51.0662,30.6509,78,1
442,car3,51.0662,30.6509,79,1
443,car3,51.0662,30.6509,80,1
444,car3,51.0662,30.6509,81,1
445,car3,51.0662,30.6509,82,1
446,car3,51.0662,30.6509,83,1
447,car3,51.0662,30.6509,84,1
448,car3,51.0662,30.6509,85,1
449,car3,51.0662,30.6509,86,1
450,car3,51.0662,30.6509,87,1
451,car3,51.0662,30.6509,88,1
452,car3,51.0662,30.6509,89,1
453,car3,51.0662,30.6509,90,1
454,car3,51.0663,30.6509,91,1
455,car3,52.2649,32.7184,92,1
456,car3,53.4635,34.7859,93,1
457,car3,54.6621,36.8534,94,1
458,car3,55.8607,38.9209,95,1
459,car3,57.0593,40.9884,96,1
460,car3,58.2579,43.0559,97,1
461,car3,59.4565,45.1234,98,1
462,car3,60.6551,47.1909,99,1
463,car3,61.8539,49.2581,100,1
464,car3,61.8539,49.2581,101,1
465,car3,61.8539,49.2581,102,1
466,car3,61.8539,49.2581,103,1
467,car3,61.8539,49.2581,104,1
468,car3,61.8539,49.2581,105,1
469,car3,61.8539,49.2581,106,1
470,car3,61.8539,49.2581,107,1
471,car3,61.8539,49.2581,108,1
472,car3,61.8539,49.2581,109,1
473,car3,61.8539,49.2581,110,1
474,car3,61.8539,49.2581,111,1
475,car3,61.8539,49.2581,112,1
476,car3,61.8539,49.2581,113,1
477,car3,61.8539,49.2581,114,1
478,car3,61.8539,49.2581,115,1
479,car3,61.8539,49.2581,116,1
480,car3,61.8539,49.2581,117,1
481,car3,61.8539,49.2581,118,1
482,car3,61.8539,49.2581,119,1
483,car3,61.8539,49.2581,120,1
484,car4,57.6006,25.8505,0,1
485,car4,57.6006,25.8505,1,1
486,car4,57.6006,25.8505,2,1
487,car4,57.6006,25.8505,3,1
488,car4,57.6006,25.8505,4,1
489,car4,57.6006,25.8505,5,1
490,car4,57.6006,25.8505,6,1
491,car4,57.6006,25.8505,7,1
492,car4,57.6006,25.8505,8,1
493,car4,57.6006,25.8505,9,1
494,car4,57.6006,25.8505,10,1
495,car4,57.6006,25.8505,11,1
496,car4,57.6006,25.8505,12,1
497,car4,57.6006,25.8505,13,1
498,car4,57.6006,25.8505,14,1
499,car4,57.6006,25.8505,15,1
500,car4,57.6006,25.8505,16,1
501,car4,57.6006,25.8505,17,1
502,car4,57.6006,25.8505,18,1
503,car4,57.6006,25.8505,19,1
504,car4,57.6006,25.8505,20,1
505,car4,57.6006,25.8505,21,1
506,car4,57.6006,25.8505,22,1
507,car4,57.6006,25.8505,23,1
508,car4,57.6006,25.8505,24,1
509,car4,57.6007,25.8505,25,1
510,car4,56.2938,26.8106,26,1
511,car4,54.9869,27.7707,27,1
512,car4,53.68,28.7308,28,1
513,car4,52.3731,29.6909,29,1
514,car4,51.0662,30.6509,30,1
515,car4,51.0662,30.6509,31,1
516,car4,51.0662,30.6509,32,1
517,car4,51.0662,30.6509,33,1
518,car4,51.0662,30.6509,34,1
519,car4,51.0662,30.6509,35,1
520,car4,51.0662,30.6509,36,1
521,car4,51.0662,30.6509,37,1
522,car4,51.0662,30.6509,38,1
523,car4,51.0662,30.6509,39,1
524,car4,51.0662,30.6509,40,1
525,car4,51.0662,30.6509,41,1
526,car4,51.0662,30.6509,42,1
527,car4,51.0662,30.6509,43,1
528,car4,51.0662,30.6509,44,1
529,car4,51.0662,30.6509,45,1
530,car4,51.0662,30.6509,46,1
531,car4,51.0662,30.6509,47,1
532,car4,51.0662,30.6509,48,1
533,car4,51.0662,30.6509,49,1
534,car4,51.0662,30.6509,50,1
535,car4,51.0662,30.6509,51,1
536,car4,51.0662,30.6509,52,1
537,car4,51.0662,30.6509,53,1
538,car4,51.0662,30.6509,54,1
539,car4,51.0662,30.6509,55,1
540,car4,51.0662,30.6509,56,1
541,car4,51.0662,30.6509,57,1
542,car4,51.0662,30.6509,58,1
543,car4,51.0662,30.6509,59,1
544,car4,51.0662,30.6509,60,1
545,car4,51.0662,30.6509,61,1
546,car4,51.0662,30.6509,62,1
547,car4,51.0662,30.6509,63,1
548,car4,51.0662,30.6509,64,1
549,car4,51.0662,30.6509,65,1
550,car4,51.0662,30.6509,66,1
551,car4,51.0662,30.6509,67,1
552,car4,51.0662,30.6509,68,1
553,car4,51.0662,30.6509,69,1
554,car4,51.0662,30.6509,70,1
555,car4,51.0662,30.6509,71,1
556,car4,51.0662,30.6509,72,1
557,car4,51.0662,30.6509,73,1
558,car4,51.0662,30.6509,74,1
559,car4,51.0662,30.6509,75,1
560,car4,51.0662,30.6509,76,1
561,car4,51.0662,30.6509,77,1
562,car4,51.0662,30.6509,78,1
563,car4,51.0662,30.6509,79,1
564,car4,51.0662,30.6509,80,1
565,car4,51.0662,30.6509,81,1
566,car4,51.0662,30.6509,82,1
567,car4,51.0662,30.6509,83,1
568,car4,51.0662,30.6509,84,1
569,car4,51.0662,30.6509,85,1
570,car4,51.0662,30.6509,86,1
571,car4,51.0662,30.6509,87,1
572,car4,51.0662,30.6509,88,1
573,car4,51.0662,30.6509,89,1
574,car4,51.0662,30.6509,90,1
575,car4,51.0662,30.6509,91,1
576,car4,51.0662,30.6509,92,1
577,car4,51.0662,30.6509,93,1
578,car4,51.0663,30.6509,94,1
579,car4,52.3732,29.6908,95,1
580,car4,53.6801,28.7307,96,1
581,car4,54.987,27.7706,97,1
582,car4,56.2939,26.8105,98,1
583,car4,57.6006,25.8505,99,1
584,car4,57.6006,25.8505,100,1
585,car4,57.6006,25.8505,101,1
586,car4,57.6006,25.8505,102,1
587,car4,57.6006,25.8505,103,1
588,car4,57.6006,25.8505,104,1
589,car4,57.6006,25.8505,105,1
590,car4,57.6006,25.8505,106,1
591,car4,57.6006,25.8505,107,1
592,car4,57.6006,25.8505,108,1
593,car4,57.6006,25.8505,109,1
594,car4,57.6006,25.8505,110,1
595,car4,57.6006,25.8505,111,1
596,car4,57.6006,25.8505,112,1
597,car4,57.6006,25.8505,113,1
598,car4,57.6006,25.8505,114,1
599,car4,57.6007,25.8505,115,1
600,car4,56.2938,26.8106,116,1
601,car4,54.9869,27.7707,117,1
602,car4,53.68,28.7308,118,1
603,car4,52.3731,29.6909,119,1
604,car4,51.0662,30.6509,120,1
605,car5,61.8539,49.2581,0,1
606,car5,61.8539,49.2581,1,1
607,car5,61.8539,49.2581,2,1
608,car5,61.8539,49.2581,3,1
609,car5,61.8539,49.2581,4,1
610,car5,61.8539,49.2581,5,1
611,car5,61.8539,49.2581,6,1
612,car5,61.8539,49.2581,7,1
613,car5,61.8539,49.2581,8,1
614,car5,61.8539,49.2581,9,1
615,car5,61.8539,49.2581,10,1
616,car5,61.8539,49.2581,11,1
617,car5,61.8539,49.2581,12,1
618,car5,61.8539,49.2581,13,1
619,car5,61.8539,49.2581,14,1
620,car5,61.8539,49.2581,15,1
621,car5,61.8539,49.2581,16,1
622,car5,61.8539,49.2581,17,1
623,car5,61.8539,49.2581,18,1
624,car5,61.8539,49.2581,19,1
625,car5,61.8539,49.2581,20,1
626,car5,61.8539,49.2581,21,1
627,car5,61.8539,49.2581,22,1
628,car5,61.8539,49.2581,23,1
629,car5,61.8539,49.2581,24,1
630,car5,61.8539,49.2581,25,1
631,car5,61.8539,49.2581,26,1
632,car5,61.8539,49.2581,27,1
633,car5,61.8539,49.2581,28,1
634,car5,61.8539,49.2581,29,1
635,car5,61.8539,49.2581,30,1
636,car5,61.8539,49.2581,31,1
637,car5,61.8539,49.2581,32,1
638,car5,61.854,49.2581,33,1
639,car5,60.6554,47.1906,34,1
640,car5,59.4568,45.1231,35,1
641,car5,58.2582,43.0556,36,1
642,car5,57.0596,40.9881,37,1
643,car5,55.861,38.9206,38,1
644,car5,54.6624,36.8531,39,1
645,car5,53.4638,34.7856,40,1
646,car5,52.2652,32.7181,41,1
647,car5,51.0662,30.6509,42,1
648,car5,51.0662,30.6509,43,1
649,car5,51.0662,30.6509,44,1
650,car5,51.0662,30.6509,45,1
651,car5,51.0662,30.6509,46,1
652,car5,51.0662,30.6509,47,1
653,car5,51.0662,30.6509,48,1
654,car5,51.0662,30.6509,49,1
655,car5,51.0662,30.6509,50,1
656,car5,51.0662,30.6509,51,1
657,car5,51.0662,30.6509,52,1
658,car5,51.0662,30.6509,53,1
659,car5,51.0662,30.6509,54,1
660,car5,51.0662,30.6509,55,1
661,car5,51.0662,30.6509,56,1
662,car5,51.0662,30.6509,57,1
663,car5,51.0662,30.6509,58,1
664,car5,51.0662,30.6509,59,1
665,car5,51.0662,30.6509,60,1
666,car5,51.0662,30.6509,61,1
667,car5,51.0662,30.6509,62,1
668,car5,51.0662,30.6509,63,1
669,car5,51.0662,30.6509,64,1
