demands,rsf,rse,success,time_over
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
20,5,11,6,1
demands,rsf,rse,success,time_over
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,1,0
20,0,2,2,0
20,0,2,2,0
20,0,4,5,0
20,0,10,5,0
20,0,14,5,0
20,0,16,7,0
20,2,19,7,0
20,2,20,7,0
20,3,20,7,0
20,3,20,7,0
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
20,3,20,7,1
