i,j,t_start,t_goal,current,mode
8,3,77,79,77,user
9,8,77,85,77,demand
8,2,79,82,79,demand
4,8,85,92,85,demand
3,4,86,90,86,user
4,3,98,102,98,demand
3,4,99,103,99,user
0,3,99,100,99,demand
6,0,107,115,107,demand
2,5,108,116,108,demand
7,9,116,120,116,user
5,7,116,121,116,demand
1,3,120,127,120,demand
7,3,130,135,130,demand
3,7,131,136,131,demand
3,6,132,138,132,demand
1,9,134,141,134,demand
4,3,135,139,135,demand
3,4,137,141,137,user
2,1,137,144,137,demand
3,2,138,141,138,user
7,4,141,148,141,demand
0,2,143,147,143,demand
6,1,145,148,145,demand
7,3,146,151,146,demand
5,6,152,153,152,demand
8,0,153,156,153,demand
1,5,154,157,154,user
8,5,159,168,159,demand
1,3,162,169,162,demand
4,3,163,167,163,demand
8,1,173,179,173,demand
2,8,191,194,191,demand
5,7,194,199,194,demand
2,3,203,206,203,demand
5,1,203,206,203,demand
9,2,209,216,209,demand
0,2,211,215,211,demand
3,0,216,217,216,user
1,8,216,222,216,demand
8,3,216,218,216,demand
6,9,221,227,221,demand
1,7,222,231,222,demand
3,8,232,234,232,demand
5,3,2,8,2,demand
3,1,7,14,7,demand
1,7,10,19,10,demand
4,6,10,20,10,demand
3,4,11,15,11,user
7,5,16,21,16,demand
6,0,22,30,22,demand
1,5,25,28,25,demand
7,1,25,34,25,demand
3,6,30,36,30,demand
9,2,33,40,33,demand
5,7,34,39,34,user
9,5,34,38,34,demand
5,9,35,39,35,user
5,9,35,39,35,demand
3,7,37,42,37,demand
9,5,39,43,39,demand
7,1,42,51,42,demand
6,3,48,54,48,demand
1,5,50,53,50,user
4,1,50,60,50,demand
3,4,51,55,51,user
5,8,56,65,56,demand
2,9,61,68,61,demand
5,2,66,74,66,demand
6,3,67,73,67,demand
2,6,73,80,73,demand
0,5,79,86,79,demand
6,7,84,91,84,demand
4,9,85,93,85,demand
3,4,86,90,86,user
8,3,91,93,91,user
1,4,91,101,91,demand
1,8,91,97,91,demand
7,5,91,96,91,demand
7,1,96,105,96,demand
2,6,113,120,113,demand
3,1,113,120,113,demand
1,2,114,121,114,demand
3,6,124,130,124,demand
1,0,126,130,126,demand
5,3,139,145,139,demand
8,7,142,153,142,user
6,8,142,150,142,demand
6,7,143,150,143,demand
8,6,145,153,145,demand
7,3,150,155,147,user
8,7,147,158,147,demand
3,2,148,151,148,demand
0,3,162,163,162,demand
8,1,169,175,169,demand
5,3,175,181,175,demand
8,6,189,197,189,demand
7,3,197,202,197,user
1,7,197,206,197,demand
6,3,199,205,199,demand
7,5,203,208,203,demand
2,6,216,223,216,demand
1,8,218,224,218,demand
8,2,219,222,219,demand
8,1,222,228,222,demand
6,8,226,234,226,demand
1,8,226,232,226,demand
2,8,227,230,227,user
9,2,227,234,227,demand
i,j,t_start,t_goal,current,mode
4,8,0,7,0,demand
8,1,2,8,2,demand
9,7,3,7,3,demand
3,4,5,9,5,user
0,4,5,10,5,demand
4,3,9,13,9,demand
9,8,9,17,9,demand
5,9,10,14,10,user
3,5,17,23,17,demand
8,4,20,27,20,demand
1,5,21,24,21,user
8,1,21,27,21,demand
0,8,28,31,28,demand
8,9,28,36,28,demand
1,6,36,39,36,user
2,1,36,43,36,demand
1,2,37,44,37,user
3,1,37,44,37,demand
5,0,46,53,46,demand
3,9,46,51,46,demand
6,5,47,48,47,demand
1,6,48,51,48,user
4,1,48,58,48,demand
1,3,49,56,49,demand
9,1,50,57,50,demand
5,1,51,54,51,user
3,5,51,57,51,demand
4,0,56,61,56,demand
3,4,57,61,57,user
2,0,66,70,66,demand
3,2,67,70,67,user
1,8,68,74,68,demand
9,4,80,88,80,demand
4,2,81,88,81,demand
3,9,84,89,84,demand
5,9,87,91,87,demand
1,5,90,93,90,user
4,1,90,100,90,demand
3,4,91,95,91,user
7,8,100,111,100,demand
4,3,111,115,111,demand
8,4,112,119,112,user
7,8,112,123,112,demand
4,7,128,135,128,demand
3,4,129,133,129,user
1,3,143,150,143,user
2,1,143,150,143,demand
4,2,144,151,144,demand
5,1,146,149,146,user
0,5,146,153,146,demand
4,1,147,157,147,demand
1,7,151,160,151,demand
1,4,163,173,163,demand
5,3,167,173,167,demand
1,5,169,172,169,demand
8,0,172,175,172,demand
7,3,181,186,181,user
1,7,181,190,181,demand
9,8,182,190,182,demand
8,3,189,191,189,user
1,8,189,195,189,demand
8,3,201,203,201,user
6,8,201,209,201,demand
2,3,203,206,203,user
5,2,203,211,203,demand
5,1,209,212,209,demand
1,9,209,216,209,demand
7,3,214,219,214,user
8,7,214,225,214,demand
5,1,214,217,214,demand
0,6,216,224,216,demand
9,3,221,226,221,demand
3,1,226,233,226,demand
1,5,231,234,231,demand
6,4,29,39,29,demand
2,9,30,37,30,demand
5,0,30,37,30,demand
3,2,31,34,31,user
6,2,31,38,31,demand
9,1,52,59,52,demand
5,7,53,58,53,demand
7,5,54,59,54,demand
4,8,55,62,55,demand
9,7,65,69,65,demand
5,4,67,76,67,demand
2,5,68,76,68,user
6,2,68,75,68,demand
5,6,76,77,69,user
2,3,69,72,69,demand
8,6,70,78,70,demand
1,5,93,96,93,demand
7,5,93,98,93,demand
4,9,97,105,97,demand
0,8,99,102,99,demand
7,6,102,109,102,demand
0,3,108,109,108,demand
5,2,111,119,111,demand
3,7,116,121,116,user
9,3,116,121,116,demand
2,0,120,124,120,user
5,2,120,128,120,demand
3,6,123,129,123,demand
8,5,125,134,125,user
9,1,125,132,125,demand
7,9,126,130,126,user
1,7,133,142,133,user
3,1,133,140,133,demand
5,0,134,141,134,demand
2,5,136,144,136,user
8,2,136,139,136,demand
7,8,150,161,150,demand
6,8,152,160,152,demand
6,7,153,160,153,demand
8,6,155,163,155,demand
5,8,159,168,159,demand
2,6,161,168,161,demand
8,4,163,170,163,demand
9,3,163,168,163,demand
4,2,168,175,168,demand
2,9,172,179,172,user
4,7,174,181,174,demand
0,4,188,193,188,demand
7,5,191,196,191,user
3,7,191,196,191,demand
6,9,192,198,192,demand
4,0,193,198,193,demand
1,5,199,202,199,user
2,1,199,206,199,demand
9,6,202,208,202,demand
6,4,205,215,205,demand
7,6,228,235,228,demand
5,2,228,236,228,demand
1,5,232,235,232,user
6,1,232,235,232,demand
8,7,1,12,1,demand
4,0,3,8,3,demand
3,4,4,8,4,user
8,3,5,7,5,demand
9,8,9,17,9,demand
1,9,10,17,10,demand
5,8,19,28,19,demand
8,9,19,27,19,demand
3,4,23,27,23,demand
4,2,27,34,27,demand
2,8,33,36,33,demand
4,1,41,51,41,demand
3,4,42,46,42,user
0,4,43,48,43,demand
4,1,50,60,50,demand
7,3,52,57,52,user
1,7,52,61,52,demand
5,1,53,56,53,demand
9,8,57,65,57,demand
2,0,58,62,58,demand
0,5,59,66,59,demand
1,9,59,66,59,demand
3,2,61,64,61,user
9,0,61,67,61,demand
8,3,67,69,67,user
0,6,67,75,67,demand
4,8,67,74,67,demand
3,4,68,72,68,user
6,0,68,76,68,demand
2,1,69,76,69,demand
3,2,71,74,71,user
8,3,77,79,77,user
9,8,77,85,77,demand
8,2,79,82,79,demand
4,8,85,92,85,demand
3,4,86,90,86,user
4,3,98,102,98,demand
3,4,99,103,99,user
0,3,99,100,99,demand
6,0,107,115,107,demand
2,5,108,116,108,demand
7,9,116,120,116,user
5,7,116,121,116,demand
1,3,120,127,120,demand
7,3,130,135,130,demand
3,7,131,136,131,demand
3,6,132,138,132,demand
1,9,134,141,134,demand
4,3,135,139,135,demand
3,4,137,141,137,user
2,1,137,144,137,demand
3,2,138,141,138,user
7,4,141,148,141,demand
0,2,143,147,143,demand
6,1,145,148,145,demand
7,3,146,151,146,demand
5,6,152,153,152,demand
8,0,153,156,153,demand
1,5,154,157,154,user
8,5,159,168,159,demand
1,3,162,169,162,demand
4,3,163,167,163,demand
8,1,173,179,173,demand
2,8,191,194,191,demand
5,7,194,199,194,demand
2,3,203,206,203,demand
5,1,203,206,203,demand
9,2,209,216,209,demand
0,2,211,215,211,demand
3,0,216,217,216,user
1,8,216,222,216,demand
8,3,216,218,216,demand
6,9,221,227,221,demand
1,7,222,231,222,demand
3,8,232,234,232,demand
5,3,2,8,2,demand
3,1,7,14,7,demand
1,7,10,19,10,demand
4,6,10,20,10,demand
3,4,11,15,11,user
7,5,16,21,16,demand
6,0,22,30,22,demand
1,5,25,28,25,demand
7,1,25,34,25,demand
3,6,30,36,30,demand
9,2,33,40,33,demand
5,7,34,39,34,user
9,5,34,38,34,demand
5,9,35,39,35,user
5,9,35,39,35,demand
3,7,37,42,37,demand
9,5,39,43,39,demand
7,1,42,51,42,demand
6,3,48,54,48,demand
1,5,50,53,50,user
4,1,50,60,50,demand
3,4,51,55,51,user
5,8,56,65,56,demand
2,9,61,68,61,demand
5,2,66,74,66,demand
6,3,67,73,67,demand
2,6,73,80,73,demand
0,5,79,86,79,demand
6,7,84,91,84,demand
4,9,85,93,85,demand
3,4,86,90,86,user
8,3,91,93,91,user
1,4,91,101,91,demand
1,8,91,97,91,demand
7,5,91,96,91,demand
7,1,96,105,96,demand
2,6,113,120,113,demand
3,1,113,120,113,demand
1,2,114,121,114,demand
3,6,124,130,124,demand
1,0,126,130,126,demand
5,3,139,145,139,demand
8,7,142,153,142,user
6,8,142,150,142,demand
6,7,143,150,143,demand
8,6,145,153,145,demand
7,3,150,155,147,user
8,7,147,158,147,demand
3,2,148,151,148,demand
0,3,162,163,162,demand
8,1,169,175,169,demand
5,3,175,181,175,demand
8,6,189,197,189,demand
7,3,197,202,197,user
1,7,197,206,197,demand
6,3,199,205,199,demand
7,5,203,208,203,demand
2,6,216,223,216,demand
1,8,218,224,218,demand
8,2,219,222,219,demand
8,1,222,228,222,demand
6,8,226,234,226,demand
1,8,226,232,226,demand
2,8,227,230,227,user
9,2,227,234,227,demand
3,8,3,5,3,demand
4,2,8,15,8,demand
3,4,10,14,10,user
5,9,13,17,13,demand
9,0,25,31,25,demand
1,6,26,29,26,demand
8,3,36,38,36,user
5,8,36,45,36,demand
7,5,39,44,39,demand
3,9,41,46,41,demand
6,5,43,44,43,demand
6,7,50,57,50,demand
6,5,59,60,59,demand
5,6,61,62,61,user
8,5,61,70,61,demand
4,8,61,68,61,demand
3,4,62,66,62,user
8,3,69,71,69,user
1,8,69,75,69,demand
5,6,82,83,82,user
0,5,82,89,82,demand
9,4,84,92,84,demand
5,6,102,103,102,user
0,5,102,109,102,demand
0,3,116,117,116,demand
8,3,132,134,132,user
5,8,132,141,132,demand
6,0,144,152,144,demand
8,3,147,149,147,demand
5,8,149,158,149,demand
6,1,157,160,157,demand
8,6,178,186,178,demand
6,7,181,188,181,demand
4,1,183,193,183,demand
5,6,189,190,189,demand
0,8,190,193,190,demand
7,0,191,197,191,demand
8,0,195,198,195,user
2,8,195,198,195,demand
8,0,196,199,196,user
3,8,196,198,196,demand
8,6,201,209,201,demand
1,9,206,213,206,demand
0,1,210,214,210,demand
3,2,210,213,210,demand
4,7,218,225,218,demand
3,4,219,223,219,user
2,0,224,228,224,demand
4,3,230,234,230,demand
6,8,232,240,232,demand
i,j,t_start,t_goal,current,mode
4,8,0,7,0,demand
8,1,2,8,2,demand
9,7,3,7,3,demand
3,4,5,9,5,user
0,4,5,10,5,demand
4,3,9,13,9,demand
9,8,9,17,9,demand
5,9,10,14,10,user
3,5,17,23,17,demand
8,4,20,27,20,demand
1,5,21,24,21,user
8,1,21,27,21,demand
0,8,28,31,28,demand
8,9,28,36,28,demand
1,6,36,39,36,user
2,1,36,43,36,demand
1,2,37,44,37,user
3,1,37,44,37,demand
5,0,46,53,46,demand
3,9,46,51,46,demand
6,5,47,48,47,demand
1,6,48,51,48,user
4,1,48,58,48,demand
1,3,49,56,49,demand
9,1,50,57,50,demand
5,1,51,54,51,user
3,5,51,57,51,demand
4,0,56,61,56,demand
3,4,57,61,57,user
2,0,66,70,66,demand
3,2,67,70,67,user
1,8,68,74,68,demand
9,4,80,88,80,demand
4,2,81,88,81,demand
3,9,84,89,84,demand
5,9,87,91,87,demand
1,5,90,93,90,user
4,1,90,100,90,demand
3,4,91,95,91,user
7,8,100,111,100,demand
4,3,111,115,111,demand
8,4,112,119,112,user
7,8,112,123,112,demand
4,7,128,135,128,demand
3,4,129,133,129,user
1,3,143,150,143,user
2,1,143,150,143,demand
4,2,144,151,144,demand
5,1,146,149,146,user
0,5,146,153,146,demand
4,1,147,157,147,demand
1,7,151,160,151,demand
1,4,163,173,163,demand
5,3,167,173,167,demand
1,5,169,172,169,demand
8,0,172,175,172,demand
7,3,181,186,181,user
1,7,181,190,181,demand
