,type,y,x,t,size
306,car9,53.0578,64.0508,27,1
307,car9,53.0578,64.0508,28,1
308,car9,53.0578,64.0508,29,1
309,car9,53.0578,64.0508,30,1
310,car10,53.0578,64.0508,0,1
311,car10,53.0578,64.0508,1,1
312,car10,53.0578,64.0508,2,1
313,car10,53.0578,64.0508,3,1
314,car10,53.0578,64.0508,4,1
315,car10,53.0578,64.0508,5,1
316,car10,53.0578,64.0508,6,1
317,car10,53.0578,64.0508,7,1
318,car10,53.0578,64.0508,8,1
319,car10,53.0578,64.0508,9,1
320,car10,53.0578,64.0508,10,1
321,car10,53.0578,64.0508,11,1
322,car10,53.0578,64.0508,12,1
323,car10,53.0578,64.0508,13,1
324,car10,53.0578,64.0508,14,1
325,car10,53.0578,64.0508,15,1
326,car10,53.0578,64.0508,16,1
327,car10,53.0578,64.0508,17,1
328,car10,53.0578,64.0508,18,1
329,car10,53.0578,64.0508,19,1
330,car10,53.0578,64.0508,20,1
331,car10,53.0578,64.0508,21,1
332,car10,53.0578,64.0508,22,1
333,car10,53.0578,64.0508,23,1
334,car10,53.0578,64.0508,24,1
335,car10,53.0578,64.0508,25,1
336,car10,53.0578,64.0508,26,1
337,car10,53.0578,64.0508,27,1
338,car10,53.0578,64.0508,28,1
339,car10,53.0578,64.0508,29,1
340,car10,53.0578,64.0508,30,1
341,car11,53.0578,64.0508,0,1
342,car11,53.0578,64.0508,1,1
343,car11,53.0578,64.0508,2,1
344,car11,53.0578,64.0508,3,1
345,car11,53.0578,64.0508,4,1
346,car11,53.0578,64.0508,5,1
347,car11,53.0578,64.0508,6,1
348,car11,53.0578,64.0508,7,1
349,car11,53.0578,64.0508,8,1
350,car11,53.0578,64.0508,9,1
351,car11,53.0578,64.0508,10,1
352,car11,53.0578,64.0508,11,1
353,car11,53.0578,64.0508,12,1
354,car11,53.0578,64.0508,13,1
355,car11,53.0578,64.0508,14,1
356,car11,53.0578,64.0508,15,1
357,car11,53.0578,64.0508,16,1
358,car11,53.0578,64.0508,17,1
359,car11,53.0578,64.0508,18,1
360,car11,53.0578,64.0508,19,1
361,car11,53.0578,64.0508,20,1
362,car11,53.0578,64.0508,21,1
363,car11,53.0578,64.0508,22,1
364,car11,53.0578,64.0508,23,1
365,car11,53.0578,64.0508,24,1
366,car11,53.0578,64.0508,25,1
367,car11,53.0578,64.0508,26,1
368,car11,53.0578,64.0508,27,1
369,car11,53.0578,64.0508,28,1
370,car11,53.0578,64.0508,29,1
371,car11,53.0578,64.0508,30,1
372,car12,53.0578,64.0508,0,1
373,car12,53.0578,64.0508,1,1
374,car12,53.0578,64.0508,2,1
375,car12,53.0578,64.0508,3,1
376,car12,53.0578,64.0508,4,1
377,car12,53.0578,64.0508,5,1
378,car12,53.0578,64.0508,6,1
379,car12,53.0578,64.0508,7,1
380,car12,53.0578,64.0508,8,1
381,car12,53.0578,64.0508,9,1
382,car12,53.0578,64.0508,10,1
383,car12,53.0578,64.0508,11,1
384,car12,53.0578,64.0508,12,1
385,car12,53.0578,64.0508,13,1
386,car12,53.0578,64.0508,14,1
387,car12,53.0578,64.0508,15,1
388,car12,53.0578,64.0508,16,1
389,car12,53.0578,64.0508,17,1
390,car12,53.0578,64.0508,18,1
391,car12,53.0578,64.0508,19,1
392,car12,53.0578,64.0508,20,1
393,car12,53.0578,64.0508,21,1
394,car12,53.0578,64.0508,22,1
395,car12,53.0578,64.0508,23,1
396,car12,53.0578,64.0508,24,1
397,car12,53.0578,64.0508,25,1
398,car12,53.0578,64.0508,26,1
399,car12,53.0578,64.0508,27,1
400,car12,53.0578,64.0508,28,1
401,car12,53.0578,64.0508,29,1
402,car12,53.0578,64.0508,30,1
